name,mbid
Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051
Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8
Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e
Black Eyed Peas,d5be5333-4171-427e-8e12-732087c6b78e
Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76
JAY‐Z,f82bcf78-5b69-4622-a5ef-73800768d9ac
Madonna,79239441-bfd5-4981-a70c-55c3f15c1287
Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738
Johnny Cash,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86
Christina Aguilera,b202beb7-99bd-47e7-8b72-195c8d72ebdd
Pearl Jam,83b9cbe7-9857-49e2-ab8e-b57b01038103
Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8
Usher,3414d446-735a-443c-931f-10634f57e5b9
50 Cent,8e68819d-71be-4e7d-b41d-f1df81b01d3f
Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3
OutKast,73fdb566-a9b1-494c-9f32-51768ec9fd27
P!nk,f4d5cc07-3bc9-4836-9b15-88a08359bc63
Snoop Dogg,f90e8b26-9e52-4669-a5c9-e28529c47894
Kid Cudi,e0e1db18-f7ba-4dee-95ff-7ae8cf545460
Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4
T.I.,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62
Frank Sinatra,197450cd-0124-4164-b723-3c22dd16494d
Dr. Dre,5f6ab597-f57a-40da-be9e-adad48708203
Alicia Keys,8ef1df30-ae4f-4dbd-9351-1a32b208a01e
Wiz Khalifa,f5dfa020-ad69-41cd-b3d4-fd7af0414e94
2Pac,382f1005-e9ab-4684-afd4-0bdae4ee37f2
Bruce Springsteen,70248960-cb53-4ea4-943a-edb18f7d336f
Stevie Wonder,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e
Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f
Jennifer Lopez,f0602f55-1770-483d-89bd-4bae0d0ac086
The Notorious B.I.G.,d5d97b2b-b83b-4976-814a-056d9076c8c3
Norah Jones,985c709c-7771-4de3-9024-7bda29ebe3f9
Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b
Miley Cyrus,7e9bd05a-117f-4cce-87bc-e011527a8b18
The Game,07cc14fb-4784-4a25-804b-2686ed5ef52c
Lupe Fiasco,cf15719f-51f9-4db8-a15d-5eed9664ce69
Pitbull,d262ea27-3ffe-40f7-b922-85c42d625e67
Nas,cfbc0924-0035-4d6c-8197-f024653af823
Ludacris,0638ba22-040f-438d-83a5-9b670c4adaf5
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42
Nelly,811900b2-68fc-4d41-8bad-69b7a1f4d628
Timbaland,daa09819-5da5-4c7a-8bef-eb372bb27ff1
Fergie,1c46e82f-4764-4d82-a33b-5d5aee5e2881
Aretha Franklin,2f9ecbed-27be-40e6-abca-6de49d50299e
John Legend,75a72702-a5ef-4513-bca5-c5b944903546
Rick Ross,13bcb2bb-db37-4397-baf5-e0f085be2d64
Ciara,03172286-f7ed-4864-a4db-459cd5ca9790
Ray Charles,2ce02909-598b-44ef-a456-151ba0a3bd70
Ella Fitzgerald,54799c0e-eb45-4eea-996d-c4d71a63c499
James Brown,20ff3303-4fe2-4a47-a1b6-291e26aa3438
Santana,9a3bf45c-347d-4630-894d-7cf3e8e0b632
J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5
Tyga,ce09ea31-3d4a-4487-a797-e315175457a0
Jeezy,dcad99e7-3c3e-4c78-bf8a-68203e17da48
B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932
Ice Cube,1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2
Miles Davis,561d854a-6a28-4aa7-8c99-323e6ce46c2a
Iggy Pop,f37b3f31-b1f8-4b88-8cb5-b34f709b17d7
Fabolous,d2299099-e617-46dd-b013-ba0b4c72bc63
Nat King Cole,fbe054ec-a143-4101-9e9e-64abc5ff5ac9
Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077
R. Kelly,c2d25856-a09a-4d15-b404-77dd19c19e63
DMX,f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8
Big Sean,942a9807-9c1a-4a0e-a285-1fde2c5be9d1
Wale,e34e41f2-f480-45d3-8190-a3ce5ab34fab
The Roots,80b3cf5e-18fe-4c59-98c7-e5bb87210710
Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6
Busta Rhymes,10a9ff92-9637-4498-afea-7044b2ab0dc0
Common,c0a1179b-b14a-4d68-a3c1-1fdab16ed602
Mary J. Blige,db76c5ca-d555-4f09-b1db-baa1b713d875
Kelis,1239d1bc-cc09-43e0-bcd0-374f60346138
Gucci Mane,36494952-f434-45d8-a958-8b4acdbcf8a8
Sheryl Crow,80ccfede-c258-4575-a7ad-c982e9932e0f
Pharrell Williams,149f91ef-1287-46da-9a8e-87fee02f1471
Missy Elliott,a0b8cb9e-7532-45fe-a74c-30e7c4009a39
DJ Khaled,081a2d60-9791-4e05-a075-f1890355eeee
Kelly Rowland,31bea673-d23a-4889-8da1-7cb040863268
will.i.am,d574c9bd-46f6-440a-8d6a-8412a283eeb1
Soulja Boy,29eead4d-3793-4625-8727-c03edbb38b8b
Birdman,dcf5807c-ef1f-4291-b452-6824080ecac4
Mos Def,9f4551c6-1324-4ac5-b3fe-a5c5cfacd54d
Erykah Badu,321531fc-db73-4ffa-a959-61a61a2908c1
Mac Miller,a0e8a1b1-5f8f-475a-a253-17415c17d0ff
Willie Nelson,668fd73c-bf54-4310-a139-305517f05311
Herbie Hancock,27613b78-1b9d-4ec3-9db5-fa0743465fdd
Jeremih,1c009a08-74d1-4682-bc56-8bfbe9e66b62
James Taylor,107d0c22-d051-4d98-8206-4e14de02132a
B.B. King,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3
Xzibit,9e839dc3-55f3-4492-ad0e-a1a2e84275e2
Tony Bennett,8be0594f-8c13-46bb-ab06-f93ffba5c776
A$AP Rocky,25b7b584-d952-4662-a8b9-dd8cdfbfeb64
Chamillionaire,4fbc55bb-61be-4eb7-b4b4-c08c68b4e060
Dolly Parton,1d543e07-d0d2-4834-a8db-d65c50c2a856
Lloyd Banks,8a6ccf62-b8fa-46d7-87df-f2dd14e6280d
CeeLo Green,2c69465c-0f76-45ce-90a2-1ed0fdacc997
Curren$y,4ce1c576-305a-4b82-82fa-5e5359056219
Duke Ellington,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f
Mobb Deep,d75d1f08-bbb8-4eae-9877-399ca9121197
