mbid,listeners_lastfm
8bfac288-ccc5-448d-9573-c33ea2aa5c30,4620835
73e5e69d-3554-40d8-8516-00cb38737a1c,4558193
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,4517997
95e1ead9-4d31-4808-a7ac-32c3614c116b,4428868
164f0d73-1234-4e2c-8743-d77bf2191051,4390502
5b11f4ce-a62d-471e-81fc-a69a8278c7da,4272894
67f66c07-6e61-4026-ade5-7e782fad3a5d,4005236
f59c5520-5f46-4d2c-b2c4-822eabf53419,3978390
650e7db6-b795-4eb5-a702-5ea2fc46c848,3820581
084308bd-1654-436f-ba03-df6697104e19,3738772
122d63fc-8671-43e4-9752-34e846d62a9c,3733134
859d0860-d480-4efd-970c-c05d5f1776b8,3554615
f27ec8db-af05-4f36-916e-3d57f91ecf5e,3546966
0ab49580-c84f-44d4-875f-d83760ea2cfe,3507447
cc0b7089-c08d-4c10-b6b0-873582c17fd6,3497648
6ffb8ea9-2370-44d8-b678-e9237bbd347b,3437638
d5be5333-4171-427e-8e12-732087c6b78e,3346410
f181961b-20f7-459e-89de-920ef03c7ed0,3262563
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,3255085
eeb1195b-f213-4ce1-b28c-8565211f8e43,3241492
9efff43b-3b29-4082-824e-bc82f646f93d,3189868
f82bcf78-5b69-4622-a5ef-73800768d9ac,3169635
79239441-bfd5-4981-a70c-55c3f15c1287,3102727
6fe07aa5-fec0-4eca-a456-f29bff451b04,3050491
0743b15a-3c32-48c8-ad58-cb325350befa,2976416
11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,2956612
309c62ba-7a22-4277-9f67-4a162526d18a,2918241
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,2904687
23a03e33-a603-404e-bcbf-2c00159d7067,2900065
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,2894382
ea4dfa26-f633-4da6-a52a-f49ea4897b58,2886482
3798b104-01cb-484c-a3b0-56adc6399b80,2843686
0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,2834516
596ffa74-3d08-44ef-b113-765d43d12738,2821887
ba0d6274-db14-4ef5-b28d-657ebde1a396,2814837
c485632c-b784-4ee9-8ea1-c5fb365681fc,2795384
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,2795136
b202beb7-99bd-47e7-8b72-195c8d72ebdd,2788515
06fb1c8b-566e-4cb2-985b-b467c90781d4,2726814
516cef4d-0718-4007-9939-f9b38af3f784,2726290
83b9cbe7-9857-49e2-ab8e-b57b01038103,2709816
8970d868-0723-483b-a75b-51088913d3d4,2663279
72c536dc-7137-4477-a521-567eeb840fa8,2662912
3414d446-735a-443c-931f-10634f57e5b9,2650020
8e68819d-71be-4e7d-b41d-f1df81b01d3f,2645222
c234fa42-e6a6-443e-937e-2f4b073538a3,2624857
2c1828a2-e46b-4ade-a6e9-065ca265d679,2624857
a7f9fe7b-dc45-4a18-b083-25aa667892bf,2624857
548bae0a-223e-4825-a79f-951e1f737a84,2624857
9329ee19-26d7-40cf-8ec0-ab761cb6180e,2624857
e3e0abcd-7671-4482-a9d8-462f5acc9be5,2595785
ac865b2e-bba8-4f5a-8756-dd40d5e39f46,2549183
ff6e677f-91dd-4986-a174-8db0474b1799,2545095
2386cd66-e923-4e8e-bf14-2eebe2e9b973,2525225
73fdb566-a9b1-494c-9f32-51768ec9fd27,2508114
584c04d2-4acc-491b-8a0a-e63133f4bfc4,2495391
f4d5cc07-3bc9-4836-9b15-88a08359bc63,2495211
f90e8b26-9e52-4669-a5c9-e28529c47894,2493508
e0e1db18-f7ba-4dee-95ff-7ae8cf545460,2485167
fab34286-b8e1-4879-bce3-194e1358fbd2,2479795
44cf61b8-5197-448a-b82b-cef6ee89fac5,2479012
7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,2472579
c5eb9407-caeb-4303-b383-6929aa94021c,2469808
494e8d09-f85b-4543-892f-a5096aed1cd4,2459108
144ef525-85e9-40c3-8335-02c32d0861f3,2453071
ebfc1398-8d96-47e3-82c3-f782abcdb13d,2430401
d339efbb-77b9-4147-ba9e-59f2f24550b2,2425837
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,2422414
a96ac800-bfcb-412a-8a63-0a98df600700,2393280
01809552-4f87-45b0-afff-2c6f0730a3be,2390753
4bb4e4e4-5f66-4509-98af-62dbb90c45c5,2378787
5d02f264-e225-41ff-83f7-d9b1f0b1874a,2371627
f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,2370097
c07f0676-9143-4217-8a9f-4c26bd636f13,2363924
109958eb-a335-4c5e-907e-597ff4c6af46,2362780
d8354b38-e942-4c89-ba93-29323432abc3,2359138
197450cd-0124-4164-b723-3c22dd16494d,2357629
5dcdb5eb-cb72-4e6e-9e63-b7bace604965,2353577
a466c2a2-6517-42fb-a160-1087c3bafd9f,2350050
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,2343174
5f6ab597-f57a-40da-be9e-adad48708203,2330510
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,2325048
b6b2bb8d-54a9-491f-9607-7b546023b433,2319799
8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,2304812
c33c2065-b1c3-4406-b066-d33a9e2ea71a,2278164
82eb8936-7bf6-4577-8320-a2639465206d,2267801
b23e8a63-8f47-4882-b55b-df2c92ef400e,2266280
9beb62b2-88db-4cea-801e-162cd344ee53,2259629
80cadd99-f560-41e3-babd-16292bbd248a,2235405
2ddd167f-5b8a-4372-b350-6ad50493bac0,2220416
020bfbb4-05c3-4c86-b372-17825c262094,2216177
20244d07-534f-4eff-b4d4-930878889970,2203262
b9472588-93f3-4922-a1a2-74082cdf9ce8,2199955
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,2193650
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2190778
af37c51c-0790-4a29-b995-456f98a6b8c9,2184031
b7ffd2af-418f-4be2-bdd1-22f8b48613da,2183077
70248960-cb53-4ea4-943a-edb18f7d336f,2166429
d15721d8-56b4-453d-b506-fc915b14cba2,2163819
2e41ae9c-afd2-4f20-8f1e-17281ce9b472,2159476
1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,2151195
4593d49a-7f67-46ba-9ec0-126bd676286f,2135943
f0602f55-1770-483d-89bd-4bae0d0ac086,2099109
bbc5b66b-d037-4f26-aecf-0b129e7f876a,2085624
e2c00c56-8365-4160-9f40-a64682917633,2076608
c3f28da8-662d-4f09-bdc7-3084bf685930,2076333
f46bd570-5768-462e-b84c-c7c993bbf47e,2065671
d5d97b2b-b83b-4976-814a-056d9076c8c3,2064837
985c709c-7771-4de3-9024-7bda29ebe3f9,2062669
1036b808-f58c-4a3e-b461-a2c4492ecf1b,2051684
1fda852b-92e9-4562-82fa-c52820a77b23,2045355
606bf117-494f-4864-891f-09d63ff6aa4b,2030682
7e9bd05a-117f-4cce-87bc-e011527a8b18,2024192
07cc14fb-4784-4a25-804b-2686ed5ef52c,2015445
cf15719f-51f9-4db8-a15d-5eed9664ce69,2011760
fbd2a255-1d57-4d31-ac11-65b671c19958,2011380
c33627c6-ef0d-49de-9ef0-c4804190040f,2004655
d262ea27-3ffe-40f7-b922-85c42d625e67,1987688
854a1807-025b-42a8-ba8c-2a39717f1d25,1984187
09885b8e-f235-4b80-a02a-055539493173,1984177
437a0e49-c6ae-42f6-a6c1-84f25ed366bc,1975644
94b0fb9d-a066-4823-b2ec-af1d324bcfcf,1974564
a0327dc2-dc76-44d5-aec6-47cd2dff1469,1957980
01d3c51b-9b98-418a-8d8e-37f6fab59d8c,1949861
cfbc0924-0035-4d6c-8197-f024653af823,1946249
4bd95eea-b9f6-4d70-a36c-cfea77431553,1935913
0638ba22-040f-438d-83a5-9b670c4adaf5,1935692
c544ed4d-2390-4442-a83e-1ea2883b09c8,1922165
afdb7919-059d-43c1-b668-ba1d265e7e42,1920878
811900b2-68fc-4d41-8bad-69b7a1f4d628,1907134
daa09819-5da5-4c7a-8bef-eb372bb27ff1,1896126
153c9281-268f-4cf3-8938-f5a4593e5df4,1884282
b7539c32-53e7-4908-bda3-81449c367da6,1881065
6de0f914-3e60-4418-be3b-42e0feb6eb4d,1872933
afb680f2-b6eb-4cd7-a70b-a63b25c763d5,1841782
78f797e3-4913-4026-aad0-1cd858bd735b,1839638
fbb375f9-48bb-4635-824e-4120273b3ba7,1836766
299278d3-25dd-4f30-bae4-5b571c28034d,1834782
bfd5aec5-62a2-4560-a316-7c46c17babda,1834619
d6ed7887-a401-47a8-893c-34b967444d26,1822916
1c46e82f-4764-4d82-a33b-5d5aee5e2881,1821697
a796b92e-c137-4895-9c89-10f900617a4f,1803685
0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,1799483
b267ca80-034e-4dc1-9ed4-ec45f1fed41d,1798379
2944824d-4c26-476f-a981-be849081942f,1797381
b665b768-0d83-4363-950c-31ed39317c15,1788615
2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,1784634
8aa5b65a-5b3c-4029-92bf-47a544356934,1780695
64b94289-9474-4d43-8c93-918ccc1920d1,1775916
2f9ecbed-27be-40e6-abca-6de49d50299e,1753581
75a72702-a5ef-4513-bca5-c5b944903546,1750440
e0e1a584-dd0a-4bd1-88d1-c4c62895039d,1748814
95f5b748-d370-47fe-85bd-0af2dc450bc0,1746076
7527f6c2-d762-4b88-b5e2-9244f1e34c46,1733395
07b6020a-c539-4d68-aeef-f159f3befc76,1723117
1f43d76f-8edf-44f6-aaf1-b65f05ad9402,1722990
664c3e0e-42d8-48c1-b209-1efca19c0325,1715414
eea8a864-fcda-4602-9569-38ab446decd6,1713540
070d193a-845c-479f-980e-bef15710653e,1708033
13bcb2bb-db37-4397-baf5-e0f085be2d64,1701472
148ddea2-6839-4354-8e2c-5dfadf136b7f,1701222
24e1b53c-3085-4581-8472-0b0088d2508c,1700304
4d2956d1-a3f7-44bb-9a41-67563e1a0c94,1697662
abd506e1-6f2b-4d6f-b937-92c267f6f88b,1692534
03172286-f7ed-4864-a4db-459cd5ca9790,1674587
2ce02909-598b-44ef-a456-151ba0a3bd70,1671596
daeec599-bf5d-4428-994a-e76ba5f86e2f,1669858
03ad1736-b7c9-412a-b442-82536d63a5c4,1668960
012151a8-0f9a-44c9-997f-ebd68b5389f9,1661600
05755bf1-380c-487f-983f-d1a02401fa28,1638994
fa7b9055-3703-473a-8a09-adf2fe031a24,1628128
54799c0e-eb45-4eea-996d-c4d71a63c499,1626346
fa97dd36-1b82-43d7-a6e4-2adeafd59cef,1622942
2aaf7396-6ab8-40f3-9776-a41c42c8e26b,1618182
e1f1e33e-2e4c-4d43-b91b-7064068d3283,1617319
5cbef01b-cc35-4f52-af7b-d0df0c4f61b9,1616177
a94a7155-c79d-4409-9fcf-220cb0e4dc3a,1614218
a47c3aa2-7d87-475c-a2c7-1e2047dafb09,1609000
0307edfc-437c-4b48-8700-80680e66a228,1607022
e6e879c0-3d56-4f12-b3c5-3ce459661a8e,1597589
078a9376-3c04-4280-b7d7-b20e158f345d,1595162
20ff3303-4fe2-4a47-a1b6-291e26aa3438,1591633
f9ef7a22-4262-4596-a2a8-1d19345b8e50,1586771
04591295-6d94-45cb-b6c7-1ae17c6f380e,1580997
9a3bf45c-347d-4630-894d-7cf3e8e0b632,1577670
875203e1-8e58-4b86-8dcb-7190faf411c5,1576351
66fc5bf8-daa4-4241-b378-9bc9077939d2,1576336
